"estimate","low_ci","high_ci","year","lat_bin","lon_bin","scientificName"
205,153,208.6,2014,41.5,-81.5,"Limenitis archippus"
164,146.7,201,2015,41.5,-81.5,"Limenitis archippus"
207.5,156.8,217.8,2016,41.5,-81.5,"Limenitis archippus"
192,150,197,2017,41.5,-81.5,"Limenitis archippus"
122,119,148,2016,39.5,-84.5,"Poanes zabulon"
135.2,133,153.4,2017,39.5,-84.5,"Poanes zabulon"
155.1,129,211.7,2016,41.5,-81.5,"Poanes zabulon"
208.3,161,211,2017,41.5,-81.5,"Poanes zabulon"
156.6,139,166,2014,38.5,-77.5,"Poanes zabulon"
146.6,134,181.2,2015,38.5,-77.5,"Poanes zabulon"
140.5,128,170,2016,38.5,-77.5,"Poanes zabulon"
138,123.3,140,2017,38.5,-77.5,"Poanes zabulon"
198,156,222,2016,41.5,-87.5,"Ancyloxypha numitor"
158.4,157,181.8,2017,41.5,-87.5,"Ancyloxypha numitor"
180.8,179,219,2018,41.5,-87.5,"Ancyloxypha numitor"
149.2,141,179.6,2016,39.5,-84.5,"Ancyloxypha numitor"
